FCODE$,FEMID$,SITE$,Age,FSVLAFTER
,,OR,0.01,28.49
,,CP,0.01,28.49
,,OR,0.01,28.5
,,OR,0.01,28.5
,,OR,0.01,28.5
,,OR,0.01,28.5
,,CP,0.01,28.5
,,OR,0.01,28.51
,,OR,0.01,28.51
,,OR,0.01,28.52
,,CP,0.01,28.52
,,OR,0.01,28.53
,,OR,0.01,28.53
,,OR,0.01,28.53
,,CP,0.01,28.53
,,OR,0.01,28.54
,,OR,0.01,28.54
,,CP,0.01,28.54
,,CP,0.01,28.54
,,OR,0.01,28.55
,,OR,0.01,28.55
,,OR,0.01,28.55
,,OR,0.01,28.55
,,OR,0.01,28.55
,,OR,0.01,28.56
,,OR,0.01,28.56
,,CP,0.01,28.56
,,OR,0.01,28.57
,,OR,0.01,28.57
,,OR,0.01,28.58
,,OR,0.01,28.58
,,OR,0.01,28.58
,,OR,0.01,28.58
,,OR,0.01,28.58
,,CP,0.01,28.58
,,CP,0.01,28.58
,,CP,0.01,28.58
,,CP,0.01,28.59
,,CP,0.01,28.59
,,OR,0.01,28.6
,,OR,0.01,28.6
,,OR,0.01,28.6
,,CP,0.01,28.6
,,CP,0.01,28.6
,,CP,0.01,28.6
,,OR,0.01,28.61
,,CP,0.01,28.61
,,CP,0.01,28.61
,,OR,0.01,28.62
,,OR,0.01,28.62
,,OR,0.01,28.62
,,OR,0.01,28.62
,,OR,0.01,28.62
,,CP,0.01,28.62
,,CP,0.01,28.62
,,CP,0.01,28.62
,,CP,0.01,28.62
,,OR,0.01,28.63
,,OR,0.01,28.63
,,OR,0.01,28.63
,,CP,0.01,28.63
,,CP,0.01,28.63
,,CP,0.01,28.63
,,OR,0.01,28.64
,,OR,0.01,28.64
,,OR,0.01,28.65
,,OR,0.01,28.65
,,OR,0.01,28.65
,,OR,0.01,28.65
,,OR,0.01,28.66
,,OR,0.01,28.66
,,OR,0.01,28.66
,,OR,0.01,28.66
,,OR,0.01,28.66
,,OR,0.01,28.66
,,CP,0.01,28.66
,,OR,0.01,28.67
,,OR,0.01,28.67
,,OR,0.01,28.67
,,OR,0.01,28.67
,,OR,0.01,28.67
,,CP,0.01,28.67
,,OR,0.01,28.68
,,OR,0.01,28.68
,,OR,0.01,28.68
,,OR,0.01,28.68
,,OR,0.01,28.68
,,CP,0.01,28.68
,,CP,0.01,28.68
,,OR,0.01,28.69
,,OR,0.01,28.69
,,OR,0.01,28.69
,,OR,0.01,28.7
,,OR,0.01,28.7
,,OR,0.01,28.7
,,OR,0.01,28.7
,,OR,0.01,28.7
,,OR,0.01,28.7
,,CP,0.01,28.7
,,CP,0.01,28.7
,,CP,0.01,28.7
,,OR,0.01,28.71
,,OR,0.01,28.71
,,OR,0.01,28.71
,,OR,0.01,28.71
,,OR,0.01,28.71
,,CP,0.01,28.71
,,CP,0.01,28.71
,,OR,0.01,28.72
,,CP,0.01,28.72
,,OR,0.01,28.73
,,OR,0.01,28.73
,,OR,0.01,28.74
,,OR,0.01,28.74
,,OR,0.01,28.74
,,OR,0.01,28.74
,,CP,0.01,28.74
,,OR,0.01,28.75
,,OR,0.01,28.75
,,OR,0.01,28.75
,,OR,0.01,28.75
,,OR,0.01,28.76
,,OR,0.01,28.76
,,OR,0.01,28.76
,,OR,0.01,28.76
,,CP,0.01,28.76
,,OR,0.01,28.77
,,OR,0.01,28.77
,,OR,0.01,28.77
,,OR,0.01,28.77
,,OR,0.01,28.77
,,OR,0.01,28.77
,,OR,0.01,28.77
,,OR,0.01,28.77
,,OR,0.01,28.78
,,OR,0.01,28.78
,,OR,0.01,28.78
,,CP,0.01,28.78
,,CP,0.01,28.78
,,OR,0.01,28.79
,,OR,0.01,28.79
,,OR,0.01,28.79
,,OR,0.01,28.79
,,OR,0.01,28.79
,,OR,0.01,28.79
,,OR,0.01,28.79
,,OR,0.01,28.79
,,OR,0.01,28.79
,,OR,0.01,28.79
,,OR,0.01,28.79
,,CP,0.01,28.79
,,OR,0.01,28.8
,,OR,0.01,28.8
,,OR,0.01,28.8
,,OR,0.01,28.8
,,OR,0.01,28.8
,,OR,0.01,28.8
,,OR,0.01,28.8
,,OR,0.01,28.8
,,CP,0.01,28.8
,,CP,0.01,28.8
,,CP,0.01,28.8
,,CP,0.01,28.8
,,OR,0.01,28.81
,,OR,0.01,28.81
,,OR,0.01,28.81
,,OR,0.01,28.81
,,OR,0.01,28.81
,,OR,0.01,28.81
,,OR,0.01,28.81
,,OR,0.01,28.81
,,OR,0.01,28.81
,,CP,0.01,28.81
,,CP,0.01,28.81
,,OR,0.01,28.82
,,OR,0.01,28.82
,,OR,0.01,28.82
,,OR,0.01,28.82
,,CP,0.01,28.82
,,OR,0.01,28.83
,,OR,0.01,28.83
,,OR,0.01,28.83
,,CP,0.01,28.83
,,CP,0.01,28.83
,,CP,0.01,28.83
,,CP,0.01,28.83
,,OR,0.01,28.84
,,OR,0.01,28.84
,,OR,0.01,28.84
,,OR,0.01,28.84
,,OR,0.01,28.84
,,CP,0.01,28.84
,,CP,0.01,28.84
,,CP,0.01,28.84
,,CP,0.01,28.84
,,OR,0.01,28.85
,,OR,0.01,28.85
,,OR,0.01,28.85
,,OR,0.01,28.85
,,OR,0.01,28.85
,,OR,0.01,28.85
,,OR,0.01,28.85
,,OR,0.01,28.85
,,CP,0.01,28.85
,,OR,0.01,28.86
,,OR,0.01,28.86
,,OR,0.01,28.86
,,OR,0.01,28.86
,,OR,0.01,28.86
,,CP,0.01,28.86
,,CP,0.01,28.86
,,CP,0.01,28.86
,,OR,0.01,28.87
,,OR,0.01,28.87
,,OR,0.01,28.87
,,CP,0.01,28.87
,,CP,0.01,28.87
,,OR,0.01,28.88
,,OR,0.01,28.88
,,CP,0.01,28.88
,,CP,0.01,28.88
,,CP,0.01,28.88
,,CP,0.01,28.88
,,CP,0.01,28.88
,,OR,0.01,28.89
,,OR,0.01,28.89
,,OR,0.01,28.89
,,OR,0.01,28.89
,,OR,0.01,28.89
