FCODE$,FEMID$,SITE$,Age,FSVLAFTER
,,OR,0.01,30.55
,,OR,0.01,30.55
,,OR,0.01,30.55
,,OR,0.01,30.55
,,OR,0.01,30.55
,,CP,0.01,30.55
,,CP,0.01,30.55
,,CP,0.01,30.55
,,CP,0.01,30.55
,,CP,0.01,30.55
,,CP,0.01,30.55
,,CP,0.01,30.55
,,CP,0.01,30.55
,,CP,0.01,30.55
,,CP,0.01,30.55
,,CP,0.01,30.55
,,CP,0.01,30.55
,,OR,0.01,30.56
,,OR,0.01,30.56
,,OR,0.01,30.56
,,OR,0.01,30.56
,,OR,0.01,30.56
,,OR,0.01,30.56
,,CP,0.01,30.56
,,CP,0.01,30.56
,,CP,0.01,30.56
,,CP,0.01,30.56
,,CP,0.01,30.56
,,CP,0.01,30.56
,,CP,0.01,30.56
,,CP,0.01,30.56
,,CP,0.01,30.56
,,CP,0.01,30.56
,,OR,0.01,30.57
,,OR,0.01,30.57
,,OR,0.01,30.57
,,OR,0.01,30.57
,,OR,0.01,30.57
,,CP,0.01,30.57
,,CP,0.01,30.57
,,CP,0.01,30.57
,,CP,0.01,30.57
,,CP,0.01,30.57
,,CP,0.01,30.57
,,CP,0.01,30.57
,,CP,0.01,30.57
,,CP,0.01,30.57
,,CP,0.01,30.57
,,OR,0.01,30.58
,,OR,0.01,30.58
,,OR,0.01,30.58
,,OR,0.01,30.58
,,OR,0.01,30.58
,,CP,0.01,30.58
,,CP,0.01,30.58
,,CP,0.01,30.58
,,CP,0.01,30.58
,,CP,0.01,30.58
,,CP,0.01,30.58
,,CP,0.01,30.58
,,CP,0.01,30.58
,,CP,0.01,30.58
,,CP,0.01,30.58
,,OR,0.01,30.59
,,OR,0.01,30.59
,,CP,0.01,30.59
,,CP,0.01,30.59
,,CP,0.01,30.59
,,CP,0.01,30.59
,,CP,0.01,30.59
,,CP,0.01,30.59
,,CP,0.01,30.59
,,CP,0.01,30.59
,,CP,0.01,30.59
,,OR,0.01,30.6
,,OR,0.01,30.6
,,OR,0.01,30.6
,,CP,0.01,30.6
,,CP,0.01,30.6
,,CP,0.01,30.6
,,CP,0.01,30.6
,,CP,0.01,30.6
,,CP,0.01,30.6
,,CP,0.01,30.6
,,CP,0.01,30.6
,,CP,0.01,30.6
,,CP,0.01,30.6
,,CP,0.01,30.6
,,CP,0.01,30.6
,,CP,0.01,30.6
,,CP,0.01,30.6
,,CP,0.01,30.6
,,CP,0.01,30.6
,,CP,0.01,30.6
,,OR,0.01,30.61
,,OR,0.01,30.61
,,OR,0.01,30.61
,,CP,0.01,30.61
,,CP,0.01,30.61
,,CP,0.01,30.61
,,CP,0.01,30.61
,,CP,0.01,30.61
,,CP,0.01,30.61
,,CP,0.01,30.61
,,CP,0.01,30.61
,,CP,0.01,30.61
,,OR,0.01,30.62
,,OR,0.01,30.62
,,OR,0.01,30.62
,,OR,0.01,30.62
,,OR,0.01,30.62
,,CP,0.01,30.62
,,CP,0.01,30.62
,,CP,0.01,30.62
,,CP,0.01,30.62
,,CP,0.01,30.62
,,CP,0.01,30.62
,,CP,0.01,30.62
,,CP,0.01,30.62
,,CP,0.01,30.62
,,OR,0.01,30.63
,,OR,0.01,30.63
,,OR,0.01,30.63
,,OR,0.01,30.63
,,OR,0.01,30.63
,,OR,0.01,30.63
,,CP,0.01,30.63
,,CP,0.01,30.63
,,CP,0.01,30.63
,,CP,0.01,30.63
,,CP,0.01,30.63
,,CP,0.01,30.63
,,CP,0.01,30.63
,,CP,0.01,30.63
,,CP,0.01,30.63
,,CP,0.01,30.63
,,CP,0.01,30.63
,,CP,0.01,30.63
,,CP,0.01,30.63
,,CP,0.01,30.63
,,CP,0.01,30.63
,,OR,0.01,30.64
,,OR,0.01,30.64
,,OR,0.01,30.64
,,OR,0.01,30.64
,,CP,0.01,30.64
,,CP,0.01,30.64
,,CP,0.01,30.64
,,CP,0.01,30.64
,,CP,0.01,30.64
,,CP,0.01,30.64
,,CP,0.01,30.64
,,CP,0.01,30.64
,,CP,0.01,30.64
,,CP,0.01,30.64
,,CP,0.01,30.64
,,OR,0.01,30.65
,,OR,0.01,30.65
,,OR,0.01,30.65
,,OR,0.01,30.65
,,OR,0.01,30.65
,,OR,0.01,30.65
,,CP,0.01,30.65
,,CP,0.01,30.65
,,CP,0.01,30.65
,,CP,0.01,30.65
,,CP,0.01,30.65
,,CP,0.01,30.65
,,CP,0.01,30.65
,,CP,0.01,30.65
,,OR,0.01,30.66
,,OR,0.01,30.66
,,OR,0.01,30.66
,,OR,0.01,30.66
,,OR,0.01,30.66
,,OR,0.01,30.66
,,OR,0.01,30.66
,,OR,0.01,30.66
,,CP,0.01,30.66
,,CP,0.01,30.66
,,CP,0.01,30.66
,,CP,0.01,30.66
,,CP,0.01,30.66
,,CP,0.01,30.66
,,CP,0.01,30.66
,,CP,0.01,30.66
,,CP,0.01,30.66
,,OR,0.01,30.67
,,OR,0.01,30.67
,,CP,0.01,30.67
,,CP,0.01,30.67
,,CP,0.01,30.67
,,CP,0.01,30.67
,,CP,0.01,30.67
,,CP,0.01,30.67
,,CP,0.01,30.67
,,CP,0.01,30.67
,,CP,0.01,30.67
,,CP,0.01,30.67
,,CP,0.01,30.68
,,CP,0.01,30.68
,,CP,0.01,30.68
,,CP,0.01,30.68
,,CP,0.01,30.68
,,CP,0.01,30.68
,,CP,0.01,30.68
,,CP,0.01,30.68
,,CP,0.01,30.68
,,CP,0.01,30.68
,,CP,0.01,30.68
,,CP,0.01,30.68
,,CP,0.01,30.68
,,CP,0.01,30.68
,,CP,0.01,30.68
,,CP,0.01,30.68
,,CP,0.01,30.68
,,OR,0.01,30.69
,,OR,0.01,30.69
,,OR,0.01,30.69
,,OR,0.01,30.69
,,CP,0.01,30.69
,,CP,0.01,30.69
,,CP,0.01,30.69
,,CP,0.01,30.69
,,CP,0.01,30.69
,,CP,0.01,30.69
,,OR,0.01,30.7
,,OR,0.01,30.7
,,OR,0.01,30.7
,,OR,0.01,30.7
,,OR,0.01,30.7
,,OR,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,CP,0.01,30.7
,,OR,0.01,30.71
,,OR,0.01,30.71
,,OR,0.01,30.71
,,CP,0.01,30.71
,,CP,0.01,30.71
,,CP,0.01,30.71
,,CP,0.01,30.71
,,CP,0.01,30.71
,,OR,0.01,30.72
,,CP,0.01,30.72
,,CP,0.01,30.72
,,CP,0.01,30.72
,,CP,0.01,30.72
,,OR,0.01,30.73
,,OR,0.01,30.73
,,OR,0.01,30.73
,,OR,0.01,30.73
,,CP,0.01,30.73
,,CP,0.01,30.73
,,CP,0.01,30.73
,,CP,0.01,30.73
,,OR,0.01,30.74
,,CP,0.01,30.74
,,CP,0.01,30.74
,,CP,0.01,30.74
,,CP,0.01,30.74
,,CP,0.01,30.74
,,OR,0.01,30.75
,,OR,0.01,30.75
,,OR,0.01,30.75
,,OR,0.01,30.75
,,OR,0.01,30.75
,,CP,0.01,30.75
,,CP,0.01,30.75
,,CP,0.01,30.75
,,CP,0.01,30.75
,,CP,0.01,30.75
,,CP,0.01,30.75
,,CP,0.01,30.75
,,CP,0.01,30.75
,,CP,0.01,30.75
,,OR,0.01,30.76
,,CP,0.01,30.76
,,CP,0.01,30.76
,,CP,0.01,30.76
,,CP,0.01,30.76
,,OR,0.01,30.77
,,OR,0.01,30.77
,,OR,0.01,30.77
,,CP,0.01,30.77
,,CP,0.01,30.77
,,CP,0.01,30.77
,,CP,0.01,30.77
,,OR,0.01,30.78
,,OR,0.01,30.78
,,CP,0.01,30.78
,,CP,0.01,30.78
,,CP,0.01,30.78
,,CP,0.01,30.78
,,CP,0.01,30.78
,,CP,0.01,30.78
,,CP,0.01,30.78
,,CP,0.01,30.78
,,CP,0.01,30.78
,,CP,0.01,30.78
,,OR,0.01,30.79
,,CP,0.01,30.79
,,CP,0.01,30.79
,,CP,0.01,30.79
,,CP,0.01,30.79
,,CP,0.01,30.79
,,CP,0.01,30.79
,,CP,0.01,30.79
,,CP,0.01,30.79
,,CP,0.01,30.79
,,CP,0.01,30.79
,,CP,0.01,30.79
,,OR,0.01,30.8
,,OR,0.01,30.8
,,OR,0.01,30.8
,,CP,0.01,30.8
,,CP,0.01,30.8
,,CP,0.01,30.8
,,CP,0.01,30.8
,,CP,0.01,30.8
,,CP,0.01,30.8
,,CP,0.01,30.8
,,CP,0.01,30.8
,,CP,0.01,30.8
,,CP,0.01,30.8
,,CP,0.01,30.8
,,CP,0.01,30.8
,,CP,0.01,30.8
,,CP,0.01,30.8
,,CP,0.01,30.8
,,OR,0.01,30.81
,,OR,0.01,30.81
,,CP,0.01,30.81
,,CP,0.01,30.81
,,CP,0.01,30.81
,,CP,0.01,30.81
,,CP,0.01,30.81
,,CP,0.01,30.81
,,CP,0.01,30.81
,,CP,0.01,30.81
,,OR,0.01,30.82
,,CP,0.01,30.82
,,CP,0.01,30.82
,,CP,0.01,30.82
,,CP,0.01,30.82
,,CP,0.01,30.82
,,CP,0.01,30.82
,,CP,0.01,30.82
,,CP,0.01,30.82
,,CP,0.01,30.82
,,CP,0.01,30.82
,,CP,0.01,30.82
,,CP,0.01,30.82
,,CP,0.01,30.82
,,CP,0.01,30.82
,,CP,0.01,30.82
,,OR,0.01,30.83
,,CP,0.01,30.83
,,CP,0.01,30.83
,,CP,0.01,30.83
,,CP,0.01,30.83
,,CP,0.01,30.83
,,CP,0.01,30.83
,,CP,0.01,30.83
,,CP,0.01,30.83
,,CP,0.01,30.83
,,OR,0.01,30.84
,,OR,0.01,30.84
,,CP,0.01,30.84
,,CP,0.01,30.84
,,CP,0.01,30.84
,,CP,0.01,30.84
,,CP,0.01,30.84
,,OR,0.01,30.85
,,OR,0.01,30.85
,,CP,0.01,30.85
,,CP,0.01,30.85
,,CP,0.01,30.85
,,CP,0.01,30.85
,,CP,0.01,30.85
,,CP,0.01,30.85
,,CP,0.01,30.85
,,CP,0.01,30.85
,,CP,0.01,30.85
,,OR,0.01,30.86
,,OR,0.01,30.86
,,OR,0.01,30.86
,,OR,0.01,30.86
,,OR,0.01,30.86
,,CP,0.01,30.86
,,CP,0.01,30.86
,,CP,0.01,30.86
,,CP,0.01,30.86
,,CP,0.01,30.86
,,CP,0.01,30.86
,,CP,0.01,30.86
,,CP,0.01,30.86
,,CP,0.01,30.86
,,OR,0.01,30.87
,,OR,0.01,30.87
,,OR,0.01,30.87
,,CP,0.01,30.87
,,CP,0.01,30.87
,,CP,0.01,30.87
,,CP,0.01,30.87
,,OR,0.01,30.88
,,CP,0.01,30.88
,,CP,0.01,30.88
,,CP,0.01,30.88
,,CP,0.01,30.88
,,CP,0.01,30.88
,,CP,0.01,30.88
,,CP,0.01,30.88
,,CP,0.01,30.88
,,CP,0.01,30.88
,,CP,0.01,30.89
,,CP,0.01,30.89
,,CP,0.01,30.89
,,CP,0.01,30.89
,,CP,0.01,30.89
,,CP,0.01,30.89
,,CP,0.01,30.89
,,CP,0.01,30.89
,,OR,0.01,30.9
,,OR,0.01,30.9
,,OR,0.01,30.9
,,OR,0.01,30.9
,,OR,0.01,30.9
,,CP,0.01,30.9
,,CP,0.01,30.9
,,CP,0.01,30.9
,,CP,0.01,30.9
,,CP,0.01,30.9
,,CP,0.01,30.9
,,CP,0.01,30.9
,,CP,0.01,30.9
,,CP,0.01,30.9
,,CP,0.01,30.9
,,OR,0.01,30.91
,,OR,0.01,30.91
,,OR,0.01,30.91
,,CP,0.01,30.91
,,CP,0.01,30.91
,,CP,0.01,30.91
,,CP,0.01,30.91
,,CP,0.01,30.91
,,CP,0.01,30.91
,,CP,0.01,30.91
,,CP,0.01,30.91
,,CP,0.01,30.91
,,OR,0.01,30.92
,,OR,0.01,30.92
,,OR,0.01,30.92
,,OR,0.01,30.92
,,OR,0.01,30.92
,,CP,0.01,30.92
,,CP,0.01,30.92
,,CP,0.01,30.92
,,CP,0.01,30.92
,,CP,0.01,30.92
,,OR,0.01,30.93
,,OR,0.01,30.93
,,CP,0.01,30.93
,,CP,0.01,30.93
,,CP,0.01,30.93
,,CP,0.01,30.93
,,OR,0.01,30.94
,,CP,0.01,30.94
,,CP,0.01,30.94
,,CP,0.01,30.94
,,CP,0.01,30.94
,,CP,0.01,30.94
,,CP,0.01,30.94
,,CP,0.01,30.94
,,CP,0.01,30.94
,,CP,0.01,30.94
,,CP,0.01,30.94
,,OR,0.01,30.95
,,OR,0.01,30.95
,,OR,0.01,30.95
,,OR,0.01,30.95
,,OR,0.01,30.95
,,CP,0.01,30.95
,,CP,0.01,30.95
,,CP,0.01,30.95
,,CP,0.01,30.95
,,CP,0.01,30.95
,,CP,0.01,30.95
,,CP,0.01,30.95
,,CP,0.01,30.95
,,CP,0.01,30.95
,,CP,0.01,30.95
,,CP,0.01,30.95
,,CP,0.01,30.95
,,CP,0.01,30.95
,,OR,0.01,30.96
,,OR,0.01,30.96
,,OR,0.01,30.96
,,OR,0.01,30.96
,,CP,0.01,30.96
,,CP,0.01,30.96
,,CP,0.01,30.96
,,CP,0.01,30.96
,,CP,0.01,30.96
,,CP,0.01,30.96
,,CP,0.01,30.96
,,CP,0.01,30.96
,,CP,0.01,30.96
,,OR,0.01,30.97
,,CP,0.01,30.97
,,CP,0.01,30.97
,,CP,0.01,30.97
,,OR,0.01,30.98
,,OR,0.01,30.98
,,OR,0.01,30.98
,,CP,0.01,30.98
,,CP,0.01,30.98
,,CP,0.01,30.98
,,CP,0.01,30.98
,,CP,0.01,30.98
,,CP,0.01,30.98
,,CP,0.01,30.98
,,CP,0.01,30.98
,,OR,0.01,30.99
,,OR,0.01,30.99
,,OR,0.01,30.99
,,OR,0.01,30.99
,,CP,0.01,30.99
,,CP,0.01,30.99
,,CP,0.01,30.99
,,CP,0.01,30.99
,,CP,0.01,30.99
,,CP,0.01,30.99
,,OR,0.01,31
,,OR,0.01,31
,,OR,0.01,31
,,OR,0.01,31
,,CP,0.01,31
,,CP,0.01,31
,,CP,0.01,31
,,OR,0.01,31.01
,,CP,0.01,31.01
,,CP,0.01,31.01
,,CP,0.01,31.01
,,CP,0.01,31.01
,,CP,0.01,31.01
,,CP,0.01,31.01
,,CP,0.01,31.01
,,CP,0.01,31.01
,,CP,0.01,31.01
,,CP,0.01,31.01
,,CP,0.01,31.01
,,OR,0.01,31.02
,,CP,0.01,31.02
,,CP,0.01,31.02
,,CP,0.01,31.02
,,CP,0.01,31.02
,,CP,0.01,31.02
,,OR,0.01,31.03
,,OR,0.01,31.03
,,CP,0.01,31.03
,,CP,0.01,31.03
,,CP,0.01,31.03
,,CP,0.01,31.03
,,CP,0.01,31.03
,,CP,0.01,31.03
,,CP,0.01,31.03
,,CP,0.01,31.03
,,OR,0.01,31.04
,,CP,0.01,31.04
,,CP,0.01,31.04
,,CP,0.01,31.04
,,CP,0.01,31.04
,,CP,0.01,31.04
,,CP,0.01,31.04
,,CP,0.01,31.04
,,CP,0.01,31.04
,,CP,0.01,31.04
,,CP,0.01,31.04
,,CP,0.01,31.04
,,CP,0.01,31.04
,,OR,0.01,31.05
,,OR,0.01,31.05
,,OR,0.01,31.05
,,CP,0.01,31.05
,,OR,0.01,31.06
,,CP,0.01,31.06
,,CP,0.01,31.06
,,CP,0.01,31.06
,,CP,0.01,31.06
,,OR,0.01,31.07
,,CP,0.01,31.07
,,CP,0.01,31.07
,,CP,0.01,31.07
,,CP,0.01,31.07
,,CP,0.01,31.07
,,CP,0.01,31.07
,,CP,0.01,31.07
,,CP,0.01,31.07
,,CP,0.01,31.07
,,CP,0.01,31.07
,,CP,0.01,31.07
,,OR,0.01,31.08
,,OR,0.01,31.08
,,OR,0.01,31.08
,,CP,0.01,31.08
,,CP,0.01,31.08
,,CP,0.01,31.08
,,CP,0.01,31.08
,,CP,0.01,31.08
,,OR,0.01,31.09
,,OR,0.01,31.09
,,OR,0.01,31.09
,,CP,0.01,31.09
,,CP,0.01,31.09
,,CP,0.01,31.09
,,CP,0.01,31.09
,,CP,0.01,31.09
,,CP,0.01,31.09
,,CP,0.01,31.09
,,CP,0.01,31.09
,,OR,0.01,31.1
,,OR,0.01,31.1
,,OR,0.01,31.1
,,OR,0.01,31.1
,,CP,0.01,31.1
,,CP,0.01,31.1
,,CP,0.01,31.1
,,CP,0.01,31.1
,,CP,0.01,31.1
,,CP,0.01,31.1
,,CP,0.01,31.1
,,CP,0.01,31.1
,,CP,0.01,31.1
,,CP,0.01,31.1
,,CP,0.01,31.1
,,CP,0.01,31.1
,,CP,0.01,31.11
,,CP,0.01,31.11
,,CP,0.01,31.11
,,CP,0.01,31.11
,,CP,0.01,31.11
,,CP,0.01,31.11
,,CP,0.01,31.11
,,OR,0.01,31.12
,,OR,0.01,31.12
,,OR,0.01,31.12
,,CP,0.01,31.12
,,CP,0.01,31.12
,,CP,0.01,31.12
,,CP,0.01,31.12
,,CP,0.01,31.12
,,CP,0.01,31.12
,,OR,0.01,31.13
,,CP,0.01,31.13
,,CP,0.01,31.13
,,CP,0.01,31.13
,,CP,0.01,31.13
,,OR,0.01,31.14
,,OR,0.01,31.14
,,CP,0.01,31.14
,,CP,0.01,31.14
,,CP,0.01,31.14
,,CP,0.01,31.14
,,CP,0.01,31.14
,,CP,0.01,31.14
,,CP,0.01,31.14
,,CP,0.01,31.14
,,OR,0.01,31.15
,,OR,0.01,31.15
,,OR,0.01,31.15
,,CP,0.01,31.15
,,CP,0.01,31.15
,,CP,0.01,31.15
,,CP,0.01,31.15
,,CP,0.01,31.15
,,CP,0.01,31.15
,,CP,0.01,31.15
,,OR,0.01,31.16
,,CP,0.01,31.16
,,CP,0.01,31.16
,,CP,0.01,31.16
,,CP,0.01,31.16
,,CP,0.01,31.16
,,CP,0.01,31.16
,,CP,0.01,31.17
,,CP,0.01,31.17
,,CP,0.01,31.17
,,CP,0.01,31.17
,,CP,0.01,31.17
,,CP,0.01,31.17
,,CP,0.01,31.17
,,CP,0.01,31.17
,,OR,0.01,31.18
,,OR,0.01,31.18
,,CP,0.01,31.18
,,CP,0.01,31.18
,,CP,0.01,31.18
,,CP,0.01,31.18
,,CP,0.01,31.18
,,CP,0.01,31.18
,,CP,0.01,31.18
,,CP,0.01,31.18
,,OR,0.01,31.19
,,CP,0.01,31.19
,,CP,0.01,31.19
,,CP,0.01,31.19
,,CP,0.01,31.19
,,CP,0.01,31.19
,,OR,0.01,31.2
,,OR,0.01,31.2
,,CP,0.01,31.2
,,CP,0.01,31.2
,,CP,0.01,31.2
,,CP,0.01,31.2
,,CP,0.01,31.2
,,CP,0.01,31.2
,,CP,0.01,31.2
,,CP,0.01,31.2
,,CP,0.01,31.2
,,CP,0.01,31.2
,,CP,0.01,31.21
,,CP,0.01,31.21
,,CP,0.01,31.21
,,CP,0.01,31.21
,,CP,0.01,31.21
,,OR,0.01,31.22
,,OR,0.01,31.22
,,CP,0.01,31.22
,,CP,0.01,31.22
,,CP,0.01,31.22
,,CP,0.01,31.22
,,CP,0.01,31.22
,,CP,0.01,31.22
,,OR,0.01,31.23
,,CP,0.01,31.23
,,CP,0.01,31.23
,,CP,0.01,31.23
,,CP,0.01,31.23
,,OR,0.01,31.24
,,CP,0.01,31.24
,,CP,0.01,31.24
,,CP,0.01,31.24
,,OR,0.01,31.25
,,CP,0.01,31.25
,,CP,0.01,31.25
,,CP,0.01,31.25
,,CP,0.01,31.25
,,CP,0.01,31.25
,,OR,0.01,31.26
,,CP,0.01,31.26
,,CP,0.01,31.26
,,CP,0.01,31.26
,,CP,0.01,31.26
,,CP,0.01,31.26
,,CP,0.01,31.26
,,CP,0.01,31.26
,,CP,0.01,31.26
,,OR,0.01,31.27
,,OR,0.01,31.27
,,CP,0.01,31.27
,,CP,0.01,31.27
,,CP,0.01,31.27
,,CP,0.01,31.27
,,CP,0.01,31.27
,,CP,0.01,31.28
,,CP,0.01,31.28
,,OR,0.01,31.29
,,CP,0.01,31.29
,,CP,0.01,31.29
,,CP,0.01,31.29
,,CP,0.01,31.29
,,CP,0.01,31.29
,,OR,0.01,31.3
,,OR,0.01,31.3
,,CP,0.01,31.3
,,CP,0.01,31.3
,,CP,0.01,31.3
,,CP,0.01,31.3
,,CP,0.01,31.31
,,CP,0.01,31.32
,,CP,0.01,31.32
,,CP,0.01,31.32
,,OR,0.01,31.33
,,OR,0.01,31.33
,,CP,0.01,31.33
,,CP,0.01,31.33
,,CP,0.01,31.33
,,CP,0.01,31.33
,,CP,0.01,31.33
,,CP,0.01,31.33
,,CP,0.01,31.34
,,CP,0.01,31.34
,,CP,0.01,31.34
,,CP,0.01,31.34
,,CP,0.01,31.34
,,CP,0.01,31.34
,,CP,0.01,31.34
,,CP,0.01,31.35
,,CP,0.01,31.35
,,CP,0.01,31.35
,,CP,0.01,31.35
,,CP,0.01,31.35
,,CP,0.01,31.35
,,CP,0.01,31.36
,,CP,0.01,31.36
,,CP,0.01,31.36
,,OR,0.01,31.37
,,OR,0.01,31.37
,,CP,0.01,31.37
,,CP,0.01,31.37
,,CP,0.01,31.37
,,CP,0.01,31.37
,,OR,0.01,31.38
,,OR,0.01,31.38
,,CP,0.01,31.38
,,CP,0.01,31.38
,,CP,0.01,31.38
,,CP,0.01,31.38
,,CP,0.01,31.38
,,CP,0.01,31.38
,,CP,0.01,31.38
,,CP,0.01,31.39
,,CP,0.01,31.39
,,CP,0.01,31.39
,,CP,0.01,31.39
,,CP,0.01,31.39
,,OR,0.01,31.4
,,OR,0.01,31.4
,,OR,0.01,31.4
,,CP,0.01,31.4
,,CP,0.01,31.4
,,CP,0.01,31.4
,,CP,0.01,31.4
,,CP,0.01,31.4
,,CP,0.01,31.4
,,CP,0.01,31.4
,,CP,0.01,31.41
,,CP,0.01,31.41
,,CP,0.01,31.41
,,CP,0.01,31.41
,,OR,0.01,31.42
,,CP,0.01,31.42
,,CP,0.01,31.42
,,CP,0.01,31.42
,,CP,0.01,31.42
,,OR,0.01,31.43
,,CP,0.01,31.43
,,CP,0.01,31.43
,,OR,0.01,31.44
,,CP,0.01,31.44
,,CP,0.01,31.44
,,CP,0.01,31.44
,,CP,0.01,31.44
,,CP,0.01,31.44
,,OR,0.01,31.45
,,CP,0.01,31.45
,,CP,0.01,31.45
,,CP,0.01,31.45
,,CP,0.01,31.45
,,OR,0.01,31.46
,,OR,0.01,31.46
,,OR,0.01,31.46
,,CP,0.01,31.46
,,CP,0.01,31.46
,,CP,0.01,31.46
,,CP,0.01,31.47
,,CP,0.01,31.47
,,CP,0.01,31.47
,,CP,0.01,31.48
,,CP,0.01,31.48
,,OR,0.01,31.49
,,CP,0.01,31.49
,,CP,0.01,31.49
,,CP,0.01,31.49
,,CP,0.01,31.49
,,CP,0.01,31.5
,,CP,0.01,31.5
,,CP,0.01,31.5
,,CP,0.01,31.5
,,CP,0.01,31.5
,,CP,0.01,31.51
,,CP,0.01,31.51
,,CP,0.01,31.51
,,OR,0.01,31.52
,,CP,0.01,31.52
,,CP,0.01,31.52
,,CP,0.01,31.52
,,CP,0.01,31.52
,,CP,0.01,31.52
,,OR,0.01,31.53
,,CP,0.01,31.53
,,CP,0.01,31.53
,,CP,0.01,31.54
,,CP,0.01,31.54
,,CP,0.01,31.54
,,CP,0.01,31.55
,,CP,0.01,31.55
,,CP,0.01,31.55
,,OR,0.01,31.56
,,OR,0.01,31.56
,,CP,0.01,31.56
,,CP,0.01,31.56
,,OR,0.01,31.57
,,CP,0.01,31.57
,,CP,0.01,31.57
,,CP,0.01,31.58
,,CP,0.01,31.58
,,CP,0.01,31.58
,,OR,0.01,31.59
,,OR,0.01,31.59
,,OR,0.01,31.59
,,CP,0.01,31.59
,,CP,0.01,31.6
,,CP,0.01,31.61
,,CP,0.01,31.61
,,CP,0.01,31.61
,,CP,0.01,31.62
,,CP,0.01,31.62
,,CP,0.01,31.62
,,OR,0.01,31.63
,,CP,0.01,31.63
,,CP,0.01,31.63
,,CP,0.01,31.63
,,CP,0.01,31.63
,,OR,0.01,31.64
,,OR,0.01,31.65
,,CP,0.01,31.65
,,CP,0.01,31.65
,,CP,0.01,31.65
,,OR,0.01,31.66
,,CP,0.01,31.66
,,CP,0.01,31.66
,,CP,0.01,31.66
,,OR,0.01,31.67
,,CP,0.01,31.67
,,CP,0.01,31.67
,,OR,0.01,31.68
,,OR,0.01,31.68
,,OR,0.01,31.68
,,CP,0.01,31.68
,,CP,0.01,31.69
,,CP,0.01,31.69
,,CP,0.01,31.7
,,CP,0.01,31.7
,,CP,0.01,31.7
,,CP,0.01,31.71
,,OR,0.01,31.73
,,CP,0.01,31.73
,,CP,0.01,31.73
,,CP,0.01,31.73
,,OR,0.01,31.74
,,OR,0.01,31.74
,,CP,0.01,31.75
,,CP,0.01,31.75
,,CP,0.01,31.75
,,CP,0.01,31.75
,,CP,0.01,31.76
,,CP,0.01,31.76
,,CP,0.01,31.76
,,CP,0.01,31.76
,,OR,0.01,31.79
,,CP,0.01,31.8
,,CP,0.01,31.8
,,CP,0.01,31.8
,,CP,0.01,31.8
,,CP,0.01,31.8
,,CP,0.01,31.82
,,CP,0.01,31.82
,,CP,0.01,31.82
,,OR,0.01,31.83
,,CP,0.01,31.83
,,CP,0.01,31.83
,,OR,0.01,31.84
,,CP,0.01,31.84
,,CP,0.01,31.84
,,OR,0.01,31.85
,,CP,0.01,31.85
,,OR,0.01,31.86
,,CP,0.01,31.86
,,CP,0.01,31.87
,,CP,0.01,31.89
,,OR,0.01,31.92
,,OR,0.01,31.92
,,CP,0.01,31.92
,,OR,0.01,31.93
,,CP,0.01,31.93
,,CP,0.01,31.93
,,CP,0.01,31.94
,,CP,0.01,31.94
,,CP,0.01,31.95
,,CP,0.01,31.96
,,CP,0.01,31.98
,,CP,0.01,31.98
,,CP,0.01,31.99
,,CP,0.01,32.01
,,CP,0.01,32.03
,,CP,0.01,32.05
,,CP,0.01,32.06
,,CP,0.01,32.06
,,CP,0.01,32.07
,,CP,0.01,32.07
,,CP,0.01,32.08
,,CP,0.01,32.09
,,CP,0.01,32.1
,,CP,0.01,32.12
,,OR,0.01,32.13
,,CP,0.01,32.13
,,CP,0.01,32.14
,,OR,0.01,32.16
,,CP,0.01,32.18
,,CP,0.01,32.2
,,CP,0.01,32.21
,,CP,0.01,32.24
,,CP,0.01,32.26
,,CP,0.01,32.27
,,CP,0.01,32.32
,,CP,0.01,32.36
,,CP,0.01,32.37
,,OR,0.01,32.39
,,CP,0.01,32.4
,,CP,0.01,32.41
,,CP,0.01,32.43
,,CP,0.01,32.43
,,CP,0.01,32.54
,,CP,0.01,32.55
,,CP,0.01,32.55
,,OR,0.01,32.88
,,CP,0.01,32.89
,,CP,0.01,33.05
,,CP,0.01,39.88
,,OR,0.01,.
,,OR,0.01,.
,,OR,0.01,.
,,OR,0.01,.
,,OR,0.01,.
,,OR,0.01,.
,,OR,0.01,.
,,OR,0.01,.
,,OR,0.01,.
,,CP,0.01,.
,,CP,0.01,.
,,CP,0.01,.
,,CP,0.01,.
,,CP,0.01,.
,,CP,0.01,.
,,CP,0.01,.
,,CP,0.01,.
,,CP,0.01,.
,,CP,0.01,.
,,CP,0.01,.
,,CP,0.01,.
,,CP,0.01,.
,,CP,0.01,.
,,CP,0.01,.
,,CP,0.01,.
,,CP,0.01,.
,,CP,0.75,31
,,OR,0.75,31
,,CP,0.75,32
,,CP,0.75,32
,,CP,0.75,32
